ninedigit,FACILITY_NAME,COUNTY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,LICENSED_BED_SIZE,SENATE_DISTRICT_DESC,ASSEMBLY_DISTRICT_DESC,MSSA_NAME,MSSA_DESIGNATION,teach_rural,OSHPD_ID,TOC_Acute,TOC_SN_IC,TOC_Rehab,TOC_Psych,TOC_Chem_Dep,TOC_Unknown,Sex_Female,Sex_Male,Sex_Unknown,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_01_09,Age_Unknown,RaceGrp_Asian,RaceGrp_Black,RaceGrp_Native_Am,RaceGrp_Other,RaceGrp_Unknown,RaceGrp_White,RaceGrp_Invalid_Blank,eth_Hispanic,eth_NonHispanic,eth_Unknown,eth_Invalid,Route_Another_ER,Route_No_ER,Route_Your_ER,Route_NA,Adm_Elective,Adm_Emergency,Adm_NA,Adm_Urgent,Adm_Newborn,Adm_Trauma,DNR_No,DNR_Yes,DNR_Unknown,Admt_Amb_Surgery,Admt_Another_HCF,Admt_Clinic_Dr,Admt_Court_LE,Admt_DistinctPartXfer,Admt_Hosp_Dif,Admt_Non_HCF,Admt_SNF_ICF_ALF,Admt_NA,Admt_NB_InHosp,Admt_NB_OutHosp,Admt_NB_Illogical,Admt_HospiceFacility,disp_Acute_Care,disp_Against_Medical_Advice,disp_CAH,disp_Died,disp_Home_Health_Service,disp_Hospice_Care,disp_Prison_Jail,disp_Psychiatric_Care,disp_Rehab,disp_Residential_Care,disp_Routine,disp_SN_IC_Care,disp_Childrens_or_Cancer,disp_Not_Defined_Elsewhere,disp_Invalid_Blank,disp_Other,disp_Disaster_Care_Site,Payer_County_Indigent_Prog,Payer_Medi_Cal,Payer_Medicare,Payer_Other_Government,Payer_Other_Payer,Payer_Priv_Coverage,Payer_Self_Pay,Payer_Workers_Comp,Payer_Other_Indigent,Payer_Unknown,DX_All_Pregnancies,DX_Blood_Disorders,DX_Cancer,DX_Circulatory_System,DX_Digestive_System,DX_Ear_Disorders,DX_Endocrine_Diseases,DX_Eye_Disorders,DX_Genitourinary_System,DX_Infections,DX_Injuries_Poisonings,DX_Mental_Disorders,DX_Musculoskeletal_System,DX_Nervous_System,DX_Other_Reasons,DX_Respiratory_System,DX_Skin_Disorders,DX_Symptoms,DX_Birth_Defects,DX_Births,DX_Perinatal_Disorders,PR_Cardiovascular_System,PR_Diagnostic_Therapeutic,PR_Digestive_System,PR_Female_Reproductive_System,PR_General,PR_Musculoskeletal_System,PR_Nervous_System,PR_None,PR_Respiratory_System,PR_Skin_and_Breast_System,PR_Urinary_System,PR_Vascular_System,PR_Ear_Nose_Sinus,PR_Endocrine_System,PR_Eye,PR_Imaging,PR_Lymph_System,PR_Male_Reproductive_System,PR_Mouth_and_Throat,PR_Pregnancy,PR_New_Technologies,PR_Radiation_Oncology,PR_Nuclear_Medicine,ECM_Abnormal_Reaction_Later_Cx,ECM_Accidental_Falls,ECM_All_Transport_Types,ECM_Assault,ECM_Intentional_SelfHarm,ECM_Legal_War_Terrorism,ECM_Medical_Misadventures,ECM_Natural_Environmental_Factor,ECM_None,ECM_Other_Factors,ECM_Supplementary_Factors,ECM_W_Inanimate_Animate_Object,ECM_Med_Device_Adverse_Incident,ECM_Undetermined_Intent,ECM_NonTrans_Drowning_Subm,Zip_CA_Resident,Zip_Foreign,Zip_Homeless,Zip_Out_of_State,Zip_Unknown,Zip_Blank_Invalid,Dsch_Days
106010735,ALAMEDA HOSPITAL,ALAMEDA,2070 CLINTON AVE,ALAMEDA,94501,City or County,100-149,District 9,District 18,ALAMEDA/JACK LONDON SQUARE/OAKLAND INNER HARBOR,Urban,NA,010735,2476,284,,,,,1444,1316,,5,88,159,240,374,595,535,763,1,,,434,578,1,659,52,1036,,262,2497,1,,395,381,1984,,400,363,2,1995,,,2414,346,,2,6,27,3,67,600,1532,523,,,,,,233,106,1,109,296,34,3,8,60,81,1223,606,,,,,,19,835,1546,10,2,298,36,14,,,4,41,57,544,362,3,149,1,166,418,199,63,106,80,15,333,114,105,,,,165,287,238,15,50,105,20,1731,43,59,21,26,,,,,,,,,,,,95,149,9,6,3,1,2,4,2314,23,148,6,,,,2619,2,114,21,4,,50764
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,2450 ASHBY AVENUE,BERKELEY,94705,Non-profit Corporation (incl. Church-related),300-499,District 9,District 15,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,Urban,NA,010739,17845,,,,,,11906,5939,,249,2422,3689,1125,1013,1428,1379,1306,5234,,,2846,3893,43,4786,248,6029,,4476,13083,286,,331,12169,5345,,2890,3693,8,6114,5139,1,17295,550,,13,33,224,5,9,675,11479,265,3,5121,18,,,290,270,,202,1335,117,,157,275,40,14030,1115,12,2,,,,,7559,3324,340,16,6188,347,71,,,5828,162,317,847,857,20,296,8,322,1230,758,153,771,233,25,399,202,183,5,5139,90,244,1281,696,182,289,955,275,7941,104,213,78,223,5,18,7,35,39,141,46,5073,,,,341,492,45,16,6,1,,9,16499,43,306,63,20,4,,17271,6,443,91,34,,70605
106010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,ALAMEDA,747 52ND STREET,OAKLAND,94609,Non-profit Corporation (incl. Church-related),150-199,District 9,District 15,OAKLAND WEST CENTRAL,Urban,Teaching,010776,9003,,72,,,,4055,5020,,2977,156,,,,1,,,1984,3957,,795,1589,30,4487,143,2031,,3660,5307,108,,6,3811,5250,8,2165,6508,,240,,162,9075,,,1,12,374,1,59,2307,6320,,1,,,,,130,24,1,58,27,6,2,26,61,3,8729,,5,,3,,,,3747,23,2621,62,2353,269,,,,,423,184,97,1062,44,493,30,317,433,1195,45,299,484,411,1824,292,462,550,,430,227,1315,880,43,130,617,435,4377,83,278,48,43,55,5,18,116,29,28,341,,7,,,263,406,283,38,8,,1,3,7425,153,330,141,10,2,12,8955,1,,119,,,46213
106010844,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,ALAMEDA,2001 DWIGHT WAY,BERKELEY,94704,Non-profit Corporation (incl. Church-related),50-99,District 9,District 15,BERKELEY SOUTH AND WEST/EMERYVILLE/OAKLAND NORTHWEST,Urban,NA,010844,,,,2313,,,1354,959,,594,489,338,286,255,211,93,47,,,,179,511,10,260,226,1127,,259,1844,210,,880,1433,,,18,128,5,2162,,,2302,11,,,47,28,8,3,1065,1148,14,,,,,,64,41,,,2,,5,30,10,122,1972,44,,23,,,,,602,519,19,2,1155,16,,,,20,,,,,,,,,,6,2285,,,,1,,1,,,,,279,3,,,,,2024,,,,,,,,,,,7,,,,,3,21,8,12,37,2,,2,2143,9,55,15,,6,,1903,,378,24,8,,17634
106010846,HIGHLAND HOSPITAL,ALAMEDA,1411 EAST 31ST STREET,OAKLAND,94602,City or County,200-299,District 9,District 18,OAKLAND WEST CENTRAL,Urban,NA,010846,11618,68,535,2810,,,7092,7939,,361,2411,2382,1879,2510,2277,1032,781,1398,,,2015,5479,109,4698,52,2678,,4111,10834,86,,46,6988,7997,,,6737,,5687,1354,1253,14542,489,,22,120,62,169,376,494,11771,663,,1341,13,,,728,504,,278,527,119,277,39,317,609,9814,1170,29,608,,12,,290,8496,3475,47,,2414,245,51,13,,1541,82,496,1408,1045,14,383,18,322,857,2312,3056,364,334,195,609,278,309,10,1352,46,297,2702,748,103,406,891,204,6916,254,585,155,161,10,24,16,30,38,51,77,1362,1,,,243,871,781,464,52,7,5,14,11306,121,904,170,82,10,1,13335,4,1563,67,62,,119913
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,ALAMEDA,2800 BENEDICT DRIVE,SAN LEANDRO,94577,Investor - Limited Liability Company,50-99,District 9,District 18,CASTRO VALLEY CENTRAL AND NORTH/OAK KNOLL/SAN LEANDRO NORTHEAST/SHEFFIELD VILLAGE/UNION CITY EAST,Urban,NA,010887,423,,,,,,175,248,,,21,28,45,88,100,89,52,,,,75,91,2,44,,211,,59,322,42,,,423,,,421,,,2,,,406,17,,,,4,,,419,,,,,,,,68,4,,68,51,4,,,17,,16,195,,,,,,,148,137,,,136,,2,,,,,1,6,10,,7,,4,13,16,,17,6,16,302,25,,,,,5,188,31,,2,17,,136,6,28,,10,,,,,,,,,,,,68,13,19,4,,,,1,296,7,10,,5,,,418,1,1,3,,,27858
106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,350 HAWTHORNE AVENUE,OAKLAND,94609,Non-profit Corporation (incl. Church-related),300-499,District 9,District 18,DIMOND/MONTCLAIR/OAKLAND EAST/OAKMORE/PIEDMONT/PIEDMONT PINES/TRESTLE GLEN,Urban,NA,010937,11839,,1215,,,,6680,6374,,41,452,726,1097,1976,3023,2800,2939,,,,2432,4972,18,1375,151,4106,,1266,11598,190,,293,3879,8882,,3363,5977,4,3710,,,12104,950,,24,62,262,2,448,1510,10072,673,1,,,,,381,214,1,389,3409,287,1,18,401,82,5878,1988,,5,,,,,3015,7078,150,19,2572,152,67,1,,23,307,705,3275,1285,22,615,16,576,2096,1125,101,580,526,447,815,139,388,13,,,1067,2145,1146,203,554,755,94,5663,266,455,149,227,1,15,,138,86,42,39,3,2,4,,738,733,106,24,2,,4,14,10809,74,447,43,52,8,,12461,3,463,106,21,,71290
106010967,ST. ROSE HOSPITAL,ALAMEDA,27200 CALAROGA AVENUE,HAYWARD,94545,Non-profit Corporation (incl. Church-related),200-299,District 10,District 20,SAN LEANDRO WEST/SAN LORENZO WEST/HAYWARD WEST,Urban,NA,010967,5520,,,,,,3113,2407,,66,494,480,399,776,982,898,877,548,,,1378,722,4,1884,9,1523,,1658,3850,12,,34,1663,3813,10,584,3826,,562,548,,5241,269,10,2,,106,,,180,4122,561,1,546,1,1,,242,119,,179,824,37,1,16,7,90,2986,1017,2,,,,,4,2895,1967,3,,603,32,8,8,,617,27,72,961,700,7,227,,219,498,214,48,388,84,7,617,104,182,,548,,255,835,502,29,148,429,21,2384,90,93,32,108,,5,,9,7,3,16,554,,,,144,156,9,2,1,,,4,4759,79,319,17,30,,,5424,,70,18,8,,22068
106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,2000 MOWRY AVENUE,FREMONT,94538,District,300-499,District 10,District 20,FREMONT EAST/NILES/UNION CITY CENTRAL,Urban,NA,010987,13436,,,,,,7725,5711,,82,633,1606,668,1349,2026,2470,2805,1723,74,,5308,543,23,2918,357,4276,11,1532,11520,372,12,3,5229,8204,,2121,8194,,1515,1605,1,11944,1492,,1,42,3016,1,,,8002,568,,1594,11,,201,172,,1,353,2796,120,,31,66,12,8167,1715,2,1,,,,,2128,6021,22,116,4830,228,91,,,1666,93,316,2000,1354,27,567,6,541,737,829,86,1476,235,19,1171,253,364,7,1606,83,550,2729,975,61,374,1758,169,4068,202,224,120,415,,22,1,61,34,51,32,1589,,1,,301,568,35,2,1,,,14,12357,41,80,30,7,,,13103,55,138,91,5,44,59552
106013619,SAN LEANDRO HOSPITAL,ALAMEDA,13855 EAST 14TH STREET,SAN LEANDRO,94578,City or County,50-99,District 9,District 18,ASHLAND/BROOKFIELD VILLAGE/CASTRO VALLEY SOUTH/ELMHURST/HAYWARD NORTHEAST/SAN LEANDRO NORTH CENTRAL/,Urban,NA,013619,2642,,,,,,1261,1363,18,15,114,208,281,522,621,440,441,,,,329,1099,14,460,25,715,,70,2547,25,,70,289,2283,,172,3,,2466,1,,2525,116,1,,20,8,,,74,2393,146,,,,1,,82,112,,64,437,28,1,19,51,8,1259,581,,,,,,,985,1319,46,92,151,44,3,2,,4,42,49,448,348,,216,1,138,438,306,82,59,44,2,330,120,13,2,,,129,329,235,,116,90,5,1262,59,107,118,174,,3,,10,2,1,2,,,,,263,83,7,8,,1,1,6,1901,47,312,10,2,1,,2444,1,169,19,9,,11575
106013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,ALAMEDA,3012 SUMMIT STREET,OAKLAND,94609,Non-profit Corporation (incl. Church-related),1-49,District 9,District 18,DIMOND/MONTCLAIR/OAKLAND EAST/OAKMORE/PIEDMONT/PIEDMONT PINES/TRESTLE GLEN,Urban,NA,013687,,,,,479,,166,313,,2,91,100,119,109,52,6,,,,,24,47,,53,25,330,,59,393,27,,7,472,,,457,1,,21,,,478,1,,,4,1,,2,25,446,1,,,,,,7,45,,,1,1,1,2,,3,418,,,1,,,,,1,19,18,3,424,12,2,,,2,,,,,,,,,,,477,,,,,,,,,,,441,,,,,,38,,,,,,,,,,,,,,,,,3,,1,1,,,,456,4,12,2,,,,467,1,11,,,,7218
