oshpd_id9,OSHPD_ID,FACILITY_NAME,COUNTY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,LICENSED_BED_SIZE,SENATE_DISTRICT_DESC,ASSEMBLY_DISTRICT_DESC,MSSA_NAME,MSSA_DESIGNATION,TOC_Acute,TOC_SN_IC,TOC_Rehab,TOC_Psych,TOC_Chem_Dep,TOC_Unknown,Sex_Female,Sex_Male,Sex_Unknown,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_01_09,Age_Unknown,racegrp_aman,racegrp_asian,racegrp_black,racegrp_multirace,racegrp_nhpi,racegrp_other,racegrp_unknown,racegrp_white,racegrp_inv_blank,eth_Hispanic,eth_NonHispanic,eth_Unknown,eth_Blank_Invalid,Route_Another_ER,Route_No_ER,Route_Your_ER,Route_NA,Adm_Elective,Adm_Emergency,Adm_NA,Adm_Urgent,Adm_Newborn,Adm_Trauma,DNR_No,DNR_Yes,DNR_Unknown,Admt_Amb_Surgery,Admt_Another_HCF,Admt_Clinic_Dr,Admt_Court_LE,Admt_DistinctPartXfer,Admt_Hosp_Dif,Admt_NA,Admt_Non_HCF,Admt_SNF_ICF_ALF,Admt_HospiceFacility,Admt_NB_InHosp,Admt_NB_OutHosp,Admt_NB_Illogical,disp_Acute_Care,disp_Against_Medical_Advice,disp_Died,disp_Home_Health_Service,disp_Hospice_Care,disp_Other,disp_Psychiatric_Care,disp_Rehab,disp_Residential_Care,disp_Routine,disp_SN_IC_Care,disp_CAH,disp_Childrens_or_Cancer,disp_Not_Defined_Elsewhere,disp_Disaster_Care_Site,disp_Invalid_Blank,disp_Prison_Jail,Payer_County_Indigent_Prog,Payer_Medi_Cal,Payer_Medicare,Payer_Other_Government,Payer_Other_Payer,Payer_Priv_Coverage,Payer_Self_Pay,Payer_Workers_Comp,Payer_Other_Indigent,Payer_Unknown,DX_Blood_Forming,DX_Circulatory,DX_Digestive,DX_Endocrine,DX_Genitourinary,DX_Infections,DX_Injury_Poisoning,DX_Mental_Illness,DX_Muscoloskeletal,DX_Neoplasms,DX_Nervous_Sense,DX_No_Group_Assigned,DX_Pregnancy,DX_Residual,DX_Respiratory,DX_Skin,DX_Symptoms,DX_Congenital,DX_Perinatal,PR_Cardiovascular_System,PR_Diagnostic_Therapeutic,PR_Digestive_System,PR_Female_Reproductive_System,PR_Integumentary_System,PR_Male_Reproductive_System,PR_Musculoskeletal_System,PR_Nervous_System,PR_None,PR_Respiratory_System,PR_Urinary_System,PR_Ear,PR_Endocrine_System,PR_Eye,PR_Hemic_Lymph_System,PR_Nose_Mouth_Pharynx,PR_Obstetrical,PR_No_Group_Assigned,Zip_CA_Resident,Zip_Foreign,Zip_Homeless,Zip_Out_of_State,Zip_Unknown,Zip_Blank_Invalid,Dsch_Days,teach_rural,,,,,,,,,,,,,,,,,,,,
106010735,010735,ALAMEDA HOSPITAL,Alameda,2070 Clinton Ave,Alameda,94501,City or County,100-149,District 9,District 18,Alameda/Jack London Square/Oakland Inner Harbor,Urban,2724,192,,,,,1503,1413,,11,102,210,258,432,602,555,745,1,,,6,416,610,70,2,734,61,1017,,407,2477,32,,501,308,2107,,293,425,2,2196,,,2588,328,,2,8,24,1,41,664,2,1684,490,,,,,163,122,76,451,35,2,7,64,112,1251,633,,,,,,,43,870,1591,13,2,316,74,7,,,33,570,342,147,170,456,228,128,126,42,92,1,5,9,387,123,57,,,183,307,237,19,56,1,124,29,1903,24,33,,,,,,,,2711,2,173,29,1,,41013,NA,,,,,,,,,,,,,,,,,,,,
106010739,010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,Alameda,2450 Ashby Ave,Berkeley,94705,Non-profit Corporation (incl. Church-related),300-499,District 9,District 15,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,Urban,16918,,,,,,11336,5579,3,237,2227,3465,1017,928,1356,1405,1352,4931,,,50,2249,3642,370,331,4282,398,5596,,4127,12262,529,,476,11262,5180,,2915,3282,11,5882,4828,,16294,624,,9,52,456,5,5,726,2,10620,214,1,4822,6,,294,242,185,1252,123,,110,223,38,13287,1146,1,13,4,,,,,7080,3213,352,18,5848,361,46,,,130,907,802,282,281,1223,730,246,739,296,242,10,5432,5,404,184,79,3,4923,557,1225,801,136,222,130,880,330,7506,168,94,5,7,3,31,44,4779,,16312,53,453,78,22,,68402,NA,,,,,,,,,,,,,,,,,,,,
106010776,010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,Alameda,747 52ND ST,OAKLAND,94609,Non-profit Corporation (incl. Church-related),200-299,District 9,District 15,Oakland West Central,Urban,8952,,70,,,,4041,4981,,3004,160,3,2,,6,,,1783,4064,,26,643,1422,309,92,4355,128,2047,,3649,5266,107,,655,2352,6014,1,1851,6823,,181,1,166,9022,,,,12,402,,56,2403,3,6141,2,2,,1,,95,13,32,24,5,,34,52,5,8741,2,,10,,7,1,1,,4052,12,2265,48,2353,292,,,,425,106,1209,592,323,212,1300,139,265,428,646,6,,28,1962,249,263,484,385,248,1301,909,53,298,21,634,456,4543,87,45,41,3,22,42,319,,,8877,2,17,126,,,42118,Teaching,,,,,,,,,,,,,,,,,,,,
106010844,010844,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,Alameda,2001 DWIGHT WAY,BERKELEY,94704,Non-profit Corporation (incl. Church-related),50-99,District 9,District 15,Berkeley South and West/Emeryville/Oakland Northwest,Urban,,,,2246,,,1267,979,,520,495,341,273,290,200,96,31,,,,5,170,548,63,21,221,187,1031,,247,1790,209,,1168,1078,,,9,132,,2105,,,2237,9,,,47,31,8,3,1291,1,855,10,,,,,43,44,,5,1,,33,12,130,1920,30,,,18,,,10,,717,504,22,5,960,38,,,,,,,,,,3,2236,,,1,,6,,,,,,,1,351,,,1,,,1,1892,,,,,,,,,,1691,1,507,31,16,,17182,NA,,,,,,,,,,,,,,,,,,,,
106010846,010846,HIGHLAND HOSPITAL,Alameda,1411 E 31st St,Oakland,94602,City or County,200-299,District 9,District 18,Oakland West Central,Urban,11713,98,451,2814,,,7092,7978,6,298,2297,2496,2009,2457,2449,1238,849,983,,,79,1682,5375,412,136,4442,83,2867,,4147,10787,142,,23,6586,8467,,135,6398,16,6336,943,1248,14566,510,,45,143,210,186,368,508,3,12034,636,,929,14,,566,569,302,653,108,12,88,347,546,9703,1317,1,36,535,,1,292,414,7697,3880,59,5,2437,499,52,33,,128,1531,1080,521,379,805,2304,3473,355,510,390,11,1445,17,650,263,222,10,982,981,2157,989,131,559,72,965,312,7100,162,210,17,23,20,29,56,1293,,13031,1,1887,78,79,,116922,NA,,,,,,,,,,,,,,,,,,,,
106010887,010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Alameda,2800 BENEDICT DR,SAN LEANDRO,94577,Investor - Limited Liability Company,50-99,District 9,District 18,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,Urban,509,,,,,,246,263,,,13,30,39,116,145,109,57,,,,,67,101,,1,125,,215,,67,384,58,,,509,,,507,,,2,,,456,53,,,,,,,508,,1,,,,,,113,15,69,38,5,,,14,,22,233,,,,,,,,172,201,,,134,,2,,,,20,22,7,6,20,39,2,22,3,4,,,,327,19,18,,,28,196,49,,47,,11,,170,4,1,,,,,3,,,496,,10,2,1,,30930,NA,,,,,,,,,,,,,,,,,,,,
106010937,010937,ALTA BATES SUMMIT MEDICAL CENTER,Alameda,350 HAWTHORNE AVE,OAKLAND,94609,Non-profit Corporation (incl. Church-related),300-499,District 9,District 18,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,11632,,1145,,,,6486,6291,,22,398,671,993,1888,2925,2955,2925,,,,22,2053,4730,177,289,1315,87,4104,,1250,11361,166,,431,3608,8738,,2854,5526,,4397,,,11779,998,,12,65,428,1,370,1582,2,9773,544,,,,,351,252,368,3400,271,,5,367,89,5593,2079,,,1,,,1,,2783,7147,154,16,2454,168,55,,,312,3606,1192,677,508,1947,1152,180,642,799,425,22,15,19,814,110,343,14,,2244,1726,1288,153,280,58,854,93,5380,408,157,4,13,3,86,30,,,12127,9,490,113,38,,71818,NA,,,,,,,,,,,,,,,,,,,,
106010967,010967,ST. ROSE HOSPITAL,Alameda,27200 CALAROGA AVE,HAYWARD,94545,Non-profit Corporation (incl. Church-related),150-199,District 10,District 20,San Leandro West/San Lorenzo West/Hayward West,Urban,5195,,,,,,2861,2334,,53,438,457,318,673,1055,876,870,455,,,18,1165,651,37,233,1663,8,1420,,1561,3622,12,,87,1525,3580,3,624,3570,3,543,455,,4919,273,3,,3,120,1,,232,,3874,509,1,454,1,,244,115,159,754,67,,14,13,56,2835,931,,1,2,,,4,10,2599,1896,9,,586,68,9,18,,49,1103,647,216,208,462,184,96,398,83,78,4,555,5,503,91,58,,455,726,524,604,38,65,7,479,25,2114,75,29,,1,,5,7,496,,5021,1,139,21,11,2,20092,NA,,,,,,,,,,,,,,,,,,,,
106010987,010987,WASHINGTON HOSPITAL - FREMONT,Alameda,2000 MOWRY AVE,FREMONT,94538,District,300-499,District 10,District 20,Fremont East/Niles/Union City Central,Urban,13382,,,,,,7681,5701,,73,607,1504,737,1309,2105,2311,2967,1679,90,,22,5328,593,246,159,2832,284,3913,5,1611,11501,264,6,1,4763,8618,,1875,8578,1,1381,1539,8,11874,1508,,4,49,2887,4,,,,8226,491,182,1534,3,2,177,72,368,2563,155,,16,97,2,8277,1644,,5,2,,2,2,,2086,6025,41,138,4804,218,70,,,90,2224,1331,563,601,704,985,149,1109,384,232,4,1636,23,1229,354,115,8,1641,1510,2452,1114,75,213,51,1489,197,4213,270,132,12,29,,33,40,1552,,13045,60,192,81,4,,64625,NA,,,,,,,,,,,,,,,,,,,,
106013619,013619,SAN LEANDRO HOSPITAL,Alameda,13855 E 14TH ST,SAN LEANDRO,94578,City or County,50-99,District 9,District 18,Ashland/Brookfield Village/Castro Valley South/Elmhurst/Hayward Northeast/San Leandro North Central/San Lorenzo East,Urban,1716,,,,,,808,907,1,4,62,126,168,317,431,298,310,,,,5,192,745,5,27,302,3,437,,51,1662,3,,65,155,1496,,95,10,,1611,,,1626,90,,,12,1,,,80,,1542,81,,,,,63,90,36,220,17,,13,22,2,889,364,,,,,,,,669,791,30,68,122,33,2,1,,33,327,227,128,120,218,180,80,38,17,28,,1,3,216,83,17,,,252,211,155,1,65,2,102,6,805,17,95,1,1,,1,2,,,1576,1,127,10,2,,7594,NA,,,,,,,,,,,,,,,,,,,,
