oshpd_id9,OSHPD_ID,FACILITY_NAME,COUNTY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,LICENSED_BED_SIZE,SENATE_DISTRICT_DESC,ASSEMBLY_DISTRICT_DESC,MSSA_NAME,MSSA_DESIGNATION,TOC_Acute,TOC_Rehab,TOC_SN_IC,TOC_Unknown,TOC_Psych,TOC_Chem_Dep,Sex_Female,Sex_Male,Sex_Unknown,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_01_09,Age_Unknown,racegrp_aman,racegrp_asian,racegrp_black,racegrp_multirace,racegrp_nhpi,racegrp_other,racegrp_unknown,racegrp_white,racegrp_inv_blank,eth_Hispanic,eth_NonHispanic,eth_Unknown,eth_Blank_Invalid,Route_Another_ER,Route_No_ER,Route_Your_ER,Route_NA,Adm_Elective,Adm_Emergency,Adm_NA,Adm_Urgent,Adm_Newborn,Adm_Trauma,DNR_No,DNR_Yes,DNR_Unknown,Admt_Amb_Surgery,Admt_Another_HCF,Admt_Clinic_Dr,Admt_Court_LE,Admt_DistinctPartXfer,Admt_Hosp_Dif,Admt_Non_HCF,Admt_SNF_ICF_ALF,Admt_HospiceFacility,Admt_NB_InHosp,Admt_NB_OutHosp,Admt_NA,Admt_NB_Illogical,Admt_Disaster_Care_Site,disp_Acute_Care,disp_Against_Medical_Advice,disp_Died,disp_Home_Health_Service,disp_Hospice_Care,disp_Not_Defined_Elsewhere,disp_Prison_Jail,disp_Psychiatric_Care,disp_Rehab,disp_Residential_Care,disp_Routine,disp_SN_IC_Care,disp_CAH,disp_Childrens_or_Cancer,disp_Disaster_Care_Site,disp_Other,disp_Invalid_Blank,Payer_County_Indigent_Prog,Payer_Medi_Cal,Payer_Medicare,Payer_Other_Government,Payer_Priv_Coverage,Payer_Self_Pay,Payer_Workers_Comp,Payer_Other_Payer,Payer_Other_Indigent,Payer_Unknown,dx_Circulatory,dx_Digestive,dx_Diseases_of_the_Blood,dx_Ear,dx_Endocrine,dx_Eye,dx_Factors_Influencing_Health,dx_Genitourinary,dx_Infectious,dx_Injury_Poisoning,dx_MentalHealth,dx_Musculoskeletal,dx_Neoplasms,dx_Nervous_System,dx_Pregnancy_Childbirth,dx_Respiratory,dx_Skin,dx_Symptoms_Signs_NEC,dx_Certain_Perinatal_Conditions,dx_Congenital,dx_Unacceptable_principal_dx,PR_Cardiovascular_System,PR_Diagnostic_Therapeutic,PR_Digestive_System,PR_Ear,PR_Female_Reproductive_System,PR_Integumentary_System,PR_Musculoskeletal_System,PR_Nervous_System,PR_None,PR_Nose_Mouth_Pharynx,PR_Respiratory_System,PR_Urinary_System,PR_Endocrine_System,PR_Eye,PR_Hemic_Lymph_System,PR_Male_Reproductive_System,PR_No_Group_Assigned,PR_Obstetrical,Zip_CA_Resident,Zip_Homeless,Zip_Out_of_State,Zip_Blank_Invalid,Zip_Foreign,Zip_Unknown,Dsch_Days,teach_rural
106010735,010735,ALAMEDA HOSPITAL,Alameda,2070 Clinton Ave,Alameda,94501,City or County,100-149,District 9,District 18,Alameda/Jack London Square/Oakland Inner Harbor,Urban,2224,2,180,1,,,1164,1242,1,7,96,170,212,372,462,496,592,,,,4,412,558,221,21,413,40,738,,424,1813,170,,341,308,1758,,278,1853,3,273,,,2073,334,,2,26,15,8,53,490,1443,370,,,,,,,176,95,110,317,44,1,9,16,53,43,1066,477,,,,,,45,689,1292,28,302,49,2,,,,415,297,38,5,101,2,22,161,453,197,59,93,43,101,2,248,79,91,,,,156,272,210,1,17,47,87,35,1483,1,92,6,,,,,,,2279,114,14,,,,52127,NA
106010739,010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,Alameda,2450 Ashby Ave,Berkeley,94705,Non-profit Corporation (incl. Church-related),300-499,District 9,District 15,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,Urban,15340,,,,,,10188,5152,,210,1973,3310,897,801,1152,1215,1122,4660,,,35,2011,3117,242,294,4283,369,4989,,4249,10638,453,,497,10434,4409,,2725,3051,,5008,4556,,14676,664,,2,23,421,4,6,821,9334,172,1,4543,13,,,,240,270,178,1297,137,4,3,117,165,37,11997,866,1,28,,,,,6631,2867,349,5111,349,18,15,,,702,702,119,14,266,9,11,296,1199,618,158,534,259,192,5117,233,140,111,4659,1,,467,1329,633,2,130,212,681,274,6636,27,131,64,4,4,36,112,55,4543,14822,393,44,1,1,79,62632,NA
106010776,010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,Alameda,747 52ND ST,OAKLAND,94609,Non-profit Corporation (incl. Church-related),200-299,District 9,District 15,Oakland West Central,Urban,6816,54,,,,,3147,3722,1,2485,162,3,1,,1,,,1518,2700,,35,518,1049,308,52,3370,72,1466,,2929,3879,62,,186,2227,4457,,1546,4184,6,912,3,219,6855,15,,6,149,405,,46,1536,4716,5,,,3,4,,,100,17,35,10,1,,2,47,60,2,6592,2,,,1,1,,,3090,14,1882,1760,95,,29,,,83,838,277,21,364,26,322,224,293,1123,107,224,198,449,,986,206,295,405,428,1,251,1090,796,40,27,251,534,356,3093,247,67,23,2,15,55,17,6,,6749,32,89,,,,39423,Teaching
106010844,010844,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,Alameda,2001 DWIGHT WAY,BERKELEY,94704,Non-profit Corporation (incl. Church-related),50-99,District 9,District 15,Berkeley South and West/Emeryville/Oakland Northwest,Urban,,,,,2316,,1377,939,,649,502,375,254,239,165,112,20,,,,4,161,506,60,22,287,100,1176,,313,1856,147,,1238,1078,,,14,124,,2178,,,2311,5,,1,11,30,2,20,1419,825,8,,,,,,,47,33,,4,,5,6,21,12,123,2032,32,,1,,,,,960,450,37,811,57,,1,,,,,,,1,,,,,3,2297,,,2,12,,,1,,,,,384,4,,,4,1,2,1918,3,,,,,,,,,1812,479,22,,,3,18912,NA
106010846,010846,HIGHLAND HOSPITAL,Alameda,1411 E 31st St,Oakland,94602,City or County,200-299,District 9,District 18,Oakland West Central,Urban,13271,607,86,,3310,,7962,9303,9,321,2653,2830,2275,2703,2737,1447,1006,1297,,5,55,1735,5970,1121,144,5116,87,3046,,4738,12309,227,,88,7544,9641,1,1564,8337,42,4826,1252,1253,16722,551,1,11,158,578,191,750,498,13297,498,,1243,7,41,2,,592,664,388,996,141,340,314,307,396,95,11422,1577,,42,,,,488,10479,4502,182,1013,576,34,,,,1571,1252,111,24,633,21,129,484,1556,2556,3728,258,394,439,1508,773,294,236,1296,7,4,1122,2377,1063,5,99,503,910,299,8732,73,487,163,17,20,35,31,7,1331,14931,2250,89,1,1,2,116165,NA
106010887,010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Alameda,2800 BENEDICT DR,SAN LEANDRO,94577,Investor - Limited Liability Company,50-99,District 9,District 18,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,Urban,453,,,,,,185,266,2,,14,31,35,120,108,98,47,,,,5,76,92,3,13,94,1,169,,93,353,7,,,453,,,453,,,,,,407,46,,,,,,,453,,,,,,,,,92,12,69,35,6,,,,9,,9,221,,,,,,,179,171,,102,,1,,,,17,14,,,7,,18,10,24,32,,8,,2,,295,25,1,,,,19,200,41,,,34,20,,128,,9,1,,,,1,,,443,6,3,,,1,23779,NA
106010937,010937,ALTA BATES SUMMIT MEDICAL CENTER,Alameda,350 HAWTHORNE AVE,OAKLAND,94609,Non-profit Corporation (incl. Church-related),300-499,District 9,District 18,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,10052,889,,,,,5276,5665,,19,313,598,917,1600,2460,2619,2415,,,,45,1689,4077,83,213,1264,82,3488,,1163,9635,143,,341,2729,7871,,2198,5342,,3401,,,9767,1174,,8,30,272,3,245,1306,8563,511,3,,,,,,310,308,401,3054,307,6,1,11,272,45,4649,1575,2,,,,,,2573,5956,209,1987,168,39,9,,,2865,1064,258,26,544,12,165,617,1955,886,111,462,616,422,10,576,89,247,,16,,1835,1587,1178,3,98,288,610,102,4539,22,314,145,24,1,72,55,67,1,10293,556,33,,,59,60976,NA
106010967,010967,ST. ROSE HOSPITAL,Alameda,27200 CALAROGA AVE,HAYWARD,94545,Non-profit Corporation (incl. Church-related),150-199,District 10,District 20,San Leandro West/San Lorenzo West/Hayward West,Urban,4243,,,,,,2184,2058,1,42,324,375,361,637,822,688,628,366,,,10,866,614,39,197,1436,33,1048,,1373,2848,22,,89,1042,3112,,409,3080,,388,366,,3908,335,,1,15,48,2,,190,3129,489,2,366,,1,,,195,108,224,519,81,,3,21,10,53,2417,609,,2,,,1,,2151,1559,61,364,65,12,,31,,805,487,28,2,231,2,7,212,620,176,57,220,50,90,385,361,77,66,366,1,,653,509,419,,47,42,273,19,1888,6,43,17,,,2,3,8,314,4093,125,17,,2,6,16411,NA
106010987,010987,WASHINGTON HOSPITAL - FREMONT,Alameda,2000 MOWRY AVE,FREMONT,94538,District,300-499,District 10,District 20,Fremont East/Niles/Union City Central,Urban,10619,,301,,,,6287,4633,,42,503,1391,612,1052,1730,1765,2242,1548,35,,27,4357,476,209,88,2131,451,3176,5,1423,9231,261,5,2,4115,6803,,1439,6756,,1261,1458,6,9819,1101,,1,39,2275,,,,6463,536,148,1455,3,,,,138,,368,2471,155,1,,19,78,2,6565,1119,,3,,1,,,1755,4663,26,4266,78,55,1,,76,1645,1039,42,16,450,6,14,553,953,738,68,734,354,182,1534,728,224,104,1526,8,2,1136,2362,805,6,55,177,1061,183,3044,24,228,141,24,,36,37,154,1447,10736,110,44,,20,10,53025,NA
106013687,013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,Alameda,3012 Summit St,Oakland,94609,Non-profit Corporation (incl. Church-related),1-49,District 9,District 18,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,,,,,,351,117,234,,4,74,89,80,58,44,2,,,,,1,13,35,10,6,31,21,234,,48,283,20,,5,346,,,334,,,17,,,348,3,,,,6,,,18,326,1,,,,,,,7,31,,,,,,1,,2,310,,,,,,,,1,1,2,338,8,,1,,,,,,,,,,,,,351,,,,,,,,,,,,312,,,,,,,39,,,,,,,,,,334,15,2,,,,4280,NA
