oshpd_id9,OSHPD_ID,COUNTY,FACILITY_NAME,ADDRESS,CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,teach_rural,licensed_bed_size,senate_district_desc,assembly_district_desc,mssa_name,mssa_designation,TOC_Acute,TOC_SN_IC,TOC_Psych,TOC_Chem_Dep,TOC_Rehab,TOC_Unknown,Sex_Male,Sex_Female,Sex_Other_Unknown,Age_0_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Other_Unknown,eth_Hispanic,eth_NonHispanic,eth_Other_Unknown,racegrp_aman,racegrp_asian,racegrp_nhpi,racegrp_black,racegrp_white,racegrp_unknown,racegrp_other,racegrp_multirace,Admt_Non_HCF,Admt_Clinic_Dr,Admt_Hosp_Dif,Admt_SNF_ICF_ALF,Admt_Another_HCF,Admt_DistinctPartXfer,Admt_Amb_Surgery,Admt_HospiceFacility,Admt_Court_LE,Admt_NA,Admt_Newborn,admt_disaster_care_site,Route_Your_ER,Route_Another_ER,Route_No_ER,Route_NA,dsch_days,Adm_Emergency,Adm_Urgent,Adm_Elective,Adm_Newborn,Adm_Trauma,Adm_NA,disp_Routine,disp_Acute_Care,disp_Rehab,disp_SN_IC_Care,disp_Residential_Care,disp_Prison_Jail,disp_Against_Medical_Advice,disp_Died,disp_Home_Health_Service,disp_Disaster_Care_Site,disp_Childrens_or_Cancer,disp_Hospice_Care,disp_Psychiatric_Care,disp_CAH,disp_Not_Defined_Elsewhere,disp_Other,disp_Invalid_Blank,DNR_Yes,DNR_No,DNR_Unknown,Payer_Medicare,Payer_Medi_Cal,Payer_Priv_Coverage,Payer_Workers_Comp,Payer_County_Indigent_Prog,Payer_Other_Government,Payer_Other_Indigent,Payer_Self_Pay,Payer_Other_Payer,Payer_Unknown,dx_Infectious,dx_Neoplasms,dx_Diseases_of_the_Blood,dx_Endocrine,dx_MentalHealth,dx_Nervous_System,dx_Eye,dx_Ear,dx_Circulatory,dx_Respiratory,dx_Digestive,dx_Skin,dx_Musculoskeletal,dx_Genitourinary,dx_Pregnancy_Childbirth,dx_Certain_Perinatal_Conditions,dx_Congenital,dx_Symptoms_Signs_NEC,dx_Injury_Poisoning,dx_Factors_Influencing_Health,dx_Other_Unknown,PR_Diagnostic_Therapeutic,PR_Obstetrical,PR_Cardiovascular_System,PR_Digestive_System,PR_Ear,PR_Endocrine_System,PR_Eye,PR_Reproductive_System,PR_Hemic_Lymph_System,PR_Integumentary_System,PR_Musculoskeletal_System,PR_Nervous_System,PR_Nose_Mouth_Pharynx,PR_Respiratory_System,PR_Urinary_System,PR_None,PR_No_Group_Assigned,Zip_Unk_Inv_Bl,Zip_Homeless,Zip_Foreign,Zip_Out_of_State,Zip_CA_Resident,,,,,,,
106010735,010735,ALAMEDA,ALAMEDA HOSPITAL,2070 CLINTON AVE,ALAMEDA,94501,City or County,NA,100-149,District 9,District 18,Alameda/Jack London Square/Oakland Inner Harbor,Urban,2296,175,,,1,,1220,1252,,,,104,145,255,383,494,482,599,10,484,1882,106,,367,14,618,815,35,447,176,1550,9,405,371,14,122,1,,,,,,1904,249,319,,68953,1977,205,290,,,,962,167,65,520,3,,97,127,486,,,33,12,,,,,249,2223,,1225,850,275,1,52,25,,44,,,506,37,42,131,68,148,2,5,359,163,305,70,129,158,,,1,94,245,8,1,242,,219,177,,,,10,,60,146,23,,130,11,1453,1,,116,1,19,2336,,,,,,,
106010739,010739,ALAMEDA,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2450 ASHBY AVE,BERKELEY,94705,Non-profit Corporation (incl. Church-related),NA,300-499,District 9,District 15,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,Urban,14950,,,,,,5078,9872,,4365,215,1763,3127,917,788,1238,1300,1237,,4253,10317,380,49,1855,338,3127,5025,290,4020,246,9436,157,890,184,20,3,3,1,2,,4254,,4498,572,9880,,60428,3207,4550,2938,4254,1,,11350,302,117,986,33,3,245,165,1460,,24,141,121,1,2,,,575,14375,,3104,6209,5080,24,,359,,172,2,,1263,242,110,264,170,236,14,16,718,246,760,160,611,295,4760,4361,4,127,574,18,1,1264,4218,431,702,7,8,9,228,18,172,765,247,34,128,77,6423,219,45,372,,58,14475,,,,,,,
106010776,010776,ALAMEDA,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,747 52ND ST,OAKLAND,94609,Non-profit Corporation (incl. Church-related),Teaching,200-299,District 9,District 15,Oakland West Central,Urban,7158,,,,87,,3895,3350,,4414,2676,153,,,,,,,2,3232,3956,57,20,567,75,1104,1393,66,3590,430,4698,644,1701,,151,46,3,,,2,,,4728,136,2381,,38854,4307,1155,1579,,197,7,6940,100,59,,3,1,16,45,5,,3,3,66,4,,,,11,7234,,13,3255,1883,,,2021,,64,9,,574,173,240,426,100,487,22,18,90,930,852,188,332,247,,393,469,300,1037,359,8,1137,,257,780,28,6,10,56,56,201,590,297,276,105,33,3344,69,,33,,106,7106,,,,,,,
106010844,010844,ALAMEDA,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,2001 DWIGHT WAY,BERKELEY,94704,Non-profit Corporation (incl. Church-related),Teaching,50-99,District 9,District 15,Berkeley South and West/Emeryville/Oakland Northwest,Urban,,,2237,,,,838,1399,,,792,404,297,206,227,197,95,19,,323,1782,132,15,152,21,462,1134,95,296,62,638,8,1480,4,2,104,,,1,,,,,1324,913,,20190,41,2190,6,,,,1964,62,4,17,127,12,32,,3,,,1,10,,5,,,3,2234,,431,847,890,,,39,,28,2,,,,,1,2221,,,,1,,,,,,12,,,,2,,,342,,,5,,,,,,2,,1,,,1,1863,23,16,351,,21,1849,,,,,,,
106010846,010846,ALAMEDA,HIGHLAND HOSPITAL,1411 E 31ST ST,OAKLAND,94602,City or County,Teaching,200-299,District 9,District 18,Oakland West Central,Urban,14132,140,2848,,599,8,9433,8285,9,1357,352,2561,2871,2172,2839,2954,1624,992,5,5138,12387,202,57,1821,177,6145,2982,82,5501,962,13010,508,984,421,175,1086,8,,183,33,1319,,10567,45,7112,3,108764,8727,4247,1955,1319,1448,31,11348,578,393,1718,20,323,650,436,1424,,36,168,185,,448,,,497,17230,,4616,11191,1047,38,311,188,,336,,,1545,493,124,698,3256,481,36,21,1681,583,1387,301,337,563,1571,1357,4,309,2733,242,5,2606,1398,1262,1171,12,14,14,144,38,619,864,369,88,418,171,8478,61,10,2074,2,86,15555,,,,,,,
106010887,010887,ALAMEDA,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,2800 BENEDICT DR,SAN LEANDRO,94577,Investor - Limited Liability Company,Teaching,50-99,District 9,District 18,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,Urban,457,,,,,,260,197,,,,13,43,45,111,117,82,46,,77,366,14,,91,,75,189,11,91,,,,457,,,,,,,,,,,,457,,27958,,,457,,,,7,131,21,183,2,,12,51,47,,,3,,,,,,21,436,,138,190,116,5,,8,,,,,16,2,,2,,2,,,3,343,12,15,7,6,,,,3,36,10,,227,,25,21,,,,,,19,18,,1,8,,136,2,,3,,6,448,,,,,,,
106010937,010937,ALAMEDA,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVE,OAKLAND,94609,Non-profit Corporation (incl. Church-related),Teaching,300-499,District 9,District 18,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,10343,,,,833,,5676,5500,,,16,267,636,952,1666,2488,2663,2488,,1146,9887,143,31,1696,279,4253,3522,105,1210,80,9043,138,1294,464,25,201,9,1,,1,,,8095,343,2738,,62957,5925,3014,2237,,,,4529,314,248,1680,52,,313,409,3339,,,272,12,3,5,,,1135,10041,,5893,2642,2198,30,,285,,116,12,,2005,581,237,720,116,419,8,17,3048,490,1047,94,465,560,12,,17,250,922,168,,1558,1,2006,1300,3,20,1,112,70,346,625,82,21,342,145,4308,236,91,491,1,86,10507,,,,,,,
106010967,010967,ALAMEDA,ST. ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,94545,Non-profit Corporation (incl. Church-related),Teaching,150-199,District 10,District 20,San Leandro West/San Lorenzo West/Hayward West,Urban,4163,,,,,,1945,2218,,329,48,281,411,339,550,859,736,610,,1415,2731,17,,848,148,569,1072,22,1469,35,3164,47,163,456,4,,,,,,329,,3145,63,955,,17127,3160,278,396,329,,,2354,191,13,651,46,1,113,210,482,,4,76,22,,,,,283,3880,,1567,2059,400,6,,41,26,64,,,487,63,28,214,77,96,2,5,863,263,482,71,239,271,367,329,1,105,186,14,,716,325,612,436,1,,,29,2,56,288,14,2,57,20,1570,35,1,134,,17,4011,,,,,,,
106010987,010987,ALAMEDA,WASHINGTON HOSPITAL - FREMONT,2000 MOWRY AVE,FREMONT,94538,District,Teaching,300-499,District 10,District 20,Fremont East/Niles/Union City Central,Urban,9520,287,,,,,4297,5510,,1442,42,423,1324,584,992,1413,1585,2002,,1252,8388,167,15,4346,132,486,2771,141,1718,198,6081,1834,,432,60,,,56,1,,1343,,6404,4,3399,,49469,6342,1120,996,1343,6,,5699,173,69,1197,,2,,353,2129,,1,153,25,1,5,,,1042,8765,,4108,1752,3760,53,,36,,59,,39,971,297,43,430,95,171,4,9,1558,629,964,227,386,522,1395,1391,6,42,629,34,4,2281,1313,1126,760,2,22,,99,24,196,664,135,25,223,143,2534,260,6,126,17,57,9601,,,,,,,
106013687,013687,ALAMEDA,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,3012 SUMMIT ST,OAKLAND,94609,Non-profit Corporation (incl. Church-related),Teaching,1-49,District 9,District 18,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,,,,354,,,230,124,,,,73,73,96,66,38,,,8,37,297,20,,,,37,261,35,21,,339,1,14,,,,,,,,,,,10,344,,3780,,21,333,,,,321,1,,1,1,,30,,,,,,,,,,,2,352,,2,1,333,1,,4,,12,1,,,,,,354,,,,,,,,,,,,,,,,,322,,,,,,,,,,,,,,,31,1,,7,,,347,,,,,,,
