oshpd_id9,OSHPD_ID,COUNTY,FACILITY_NAME,ADDRESS,CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,teach_rural,licensed_bed_size,senate_district_desc,assembly_district_desc,mssa_name,mssa_designation,TOC_Acute,TOC_SN_IC,TOC_Psych,TOC_Chem_Dep,TOC_Rehab,TOC_Unknown,Sex_Male,Sex_Female,Sex_Other_Unknown,Age_0_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Other_Unknown,eth_Hispanic,eth_NonHispanic,eth_Other_Unknown,racegrp_aman,racegrp_asian,racegrp_nhpi,racegrp_black,racegrp_white,racegrp_unknown,racegrp_other,racegrp_multirace,Admt_Non_HCF,Admt_Clinic_Dr,Admt_Hosp_Dif,Admt_SNF_ICF_ALF,Admt_Another_HCF,Admt_DistinctPartXfer,Admt_Amb_Surgery,Admt_HospiceFacility,Admt_Court_LE,Admt_NA,Admt_Newborn,admt_disaster_care_site,Route_Your_ER,Route_Another_ER,Route_No_ER,Route_NA,dsch_days,Adm_Emergency,Adm_Urgent,Adm_Elective,Adm_Newborn,Adm_Trauma,Adm_NA,disp_Routine,disp_Acute_Care,disp_Rehab,disp_SN_IC_Care,disp_Residential_Care,disp_Prison_Jail,disp_Against_Medical_Advice,disp_Died,disp_Home_Health_Service,disp_Disaster_Care_Site,disp_Childrens_or_Cancer,disp_Hospice_Care,disp_Psychiatric_Care,disp_CAH,disp_Not_Defined_Elsewhere,disp_Other,disp_Invalid_Blank,DNR_Yes,DNR_No,DNR_Unknown,Payer_Self_Pay_or_Uninsured,Payer_Other_Government,Payer_Private_Health_Insurance,Payer_Medicare,Payer_All_Other_Payers,Payer_MediCal,Payer_Other_Unknown,dx_Infectious,dx_Neoplasms,dx_Diseases_of_the_Blood,dx_Endocrine,dx_MentalHealth,dx_Nervous_System,dx_Eye,dx_Ear,dx_Circulatory,dx_Respiratory,dx_Digestive,dx_Skin,dx_Musculoskeletal,dx_Genitourinary,dx_Pregnancy_Childbirth,dx_Certain_Perinatal_Conditions,dx_Congenital,dx_Symptoms_Signs_NEC,dx_Injury_Poisoning,dx_Factors_Influencing_Health,dx_Other_Unknown,PR_Diagnostic_Therapeutic,PR_Obstetrical,PR_Cardiovascular_System,PR_Digestive_System,PR_Ear,PR_Endocrine_System,PR_Eye,PR_Reproductive_System,PR_Hemic_Lymph_System,PR_Integumentary_System,PR_Musculoskeletal_System,PR_Nervous_System,PR_Nose_Mouth_Pharynx,PR_Respiratory_System,PR_Urinary_System,PR_None,PR_No_Group_Assigned,Zip_Unk_Inv_Bl,Zip_Homeless,Zip_Foreign,Zip_Out_of_State,Zip_CA_Resident,,,
106010735,010735,ALAMEDA,ALAMEDA HOSPITAL,2070 CLINTON AVE,ALAMEDA,94501,City or County,NA,100-149,District 7,District 18,Alameda/Jack London Square/Oakland Inner Harbor,Urban,2858,122,,,2,1,1508,1475,,,,114,213,297,440,590,613,706,10,483,2494,6,19,530,21,892,965,1,490,65,1792,14,535,516,31,89,,,4,2,,,2352,420,211,,53167,2346,469,165,,3,,1138,180,55,679,,2,147,107,580,,,71,17,,7,,,90,2893,,66,46,169,1623,,1076,3,450,48,35,164,99,212,4,23,483,327,372,102,68,195,,,,151,236,10,4,320,,236,194,,,,2,,38,27,20,1,56,15,2037,37,18,248,,33,2684,,,
106010739,010739,ALAMEDA,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2450 ASHBY AVENUE,BERKELEY,94705,Non-profit Corporation (incl. Church-related),NA,300-499,District 7,District 14,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,Urban,14865,,,,,,5087,9777,1,4036,179,1701,3118,1021,783,1178,1358,1491,,4331,10086,448,67,1903,340,2741,4804,368,4299,343,9987,31,754,102,69,14,1,,,1,3906,,5125,353,9387,,64071,854,7785,2320,3906,,,11248,360,123,1039,30,3,248,230,1315,,13,141,112,1,1,,1,700,14165,,179,408,5167,3249,17,5845,,1506,249,129,353,162,247,21,13,770,335,849,153,448,308,4497,4031,5,177,600,11,1,1457,3833,407,847,4,6,5,199,19,174,549,278,36,164,115,6622,150,10,452,20,89,14294,,,
106010776,010776,ALAMEDA,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,747 52ND STREET,OAKLAND,94609,Non-profit Corporation (incl. Church-related),NA,150-199,District 7,District 18,Oakland West Central,Urban,7247,,,,69,,4024,3290,2,4649,2535,127,,,,,,,5,3462,3747,107,27,573,46,924,1448,162,3750,386,4180,719,2364,,8,44,,,,1,,,4883,149,2284,,39042,3246,2201,1616,,250,3,7008,113,48,5,2,2,11,38,6,,5,12,65,1,,,,15,7301,,99,2055,1800,,11,3347,4,569,176,239,389,102,583,24,42,74,1406,748,250,275,174,,372,447,265,923,257,1,1098,,256,729,35,5,7,37,52,234,572,305,442,113,40,3267,124,5,36,,82,7193,,,
106010844,010844,ALAMEDA,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,2001 DWIGHT WAY,BERKELEY,94704,Non-profit Corporation (incl. Church-related),NA,50-99,District 7,District 14,Berkeley South and West/Emeryville/Oakland Northwest,Urban,,,2160,,,,912,1248,,,653,394,343,254,223,150,113,30,,394,1588,178,,155,23,474,948,158,338,64,559,7,1550,5,20,11,,,5,3,,,1,1253,906,,19218,4,2123,33,,,,1898,74,10,38,81,9,14,1,6,,1,1,21,,6,,,13,2147,,33,23,646,407,,1050,1,,,,,2146,2,,,,,,,1,1,,,,,,,10,197,,1,,1,,,,,1,,,,1,,1958,1,5,405,4,16,1730,,,
106010846,010846,ALAMEDA,HIGHLAND HOSPITAL,1411 EAST 31ST STREET,OAKLAND,94602,City or County,NA,150-199,District 7,District 18,Oakland West Central,Urban,14417,118,2583,,621,14,9202,8547,4,1639,286,2396,2964,2295,2437,2901,1740,1092,3,5880,11785,88,64,1953,239,5759,3301,51,6065,321,11830,758,1340,493,578,926,18,5,166,57,1582,,10131,20,7565,37,119552,9062,3501,2273,1582,1331,4,11557,670,321,1698,,293,699,334,1504,,22,120,213,,322,,,807,16946,,553,251,820,4591,30,11508,,1197,486,162,737,3036,439,34,17,1613,853,1298,330,421,580,1912,1637,4,235,2487,271,4,2688,1676,1125,1023,8,19,24,169,43,599,1004,359,81,404,194,8246,91,129,2605,1,58,14960,,,
106010887,010887,ALAMEDA,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,2800 BENEDICT DRIVE,SAN LEANDRO,94577,Investor - Limited Liability Company,NA,50-99,District 9,District 20,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,Urban,337,,,,,,203,134,,,,24,11,56,51,92,72,31,,63,274,,,41,,72,138,1,85,,,,337,,,,,,,,,,,,337,,22335,,,337,,,,14,101,8,126,,,8,52,28,,,,,,,,,,337,,,22,70,87,,153,5,3,1,,3,,5,,,17,221,11,8,11,9,,,,,30,18,,151,,41,5,,,,,,2,3,,,62,,63,10,,16,,4,317,,,
106010937,010937,ALAMEDA,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,OAKLAND,94609,Non-profit Corporation (incl. Church-related),NA,300-499,District 7,District 18,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,11568,,,,759,,6143,6184,,,25,337,887,1082,1482,2517,3107,2889,1,1642,10415,270,44,1805,279,4294,3989,205,1611,100,10373,44,1441,290,70,100,8,,,1,,,8503,274,3550,,69802,985,8674,2667,,,1,5249,377,300,2027,57,1,317,417,3308,,,267,5,,2,,,1234,11093,,122,259,2268,6609,37,3032,,2151,612,268,935,171,456,12,27,3220,613,1120,102,582,639,11,,16,245,964,180,3,1818,,2124,1404,1,43,3,100,97,297,706,95,39,360,181,4795,264,14,565,12,95,11641,,,
106010967,010967,ALAMEDA,ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,HAYWARD,94545,Non-profit Corporation (incl. Church-related),NA,100-149,District 10,District 20,San Leandro West/San Lorenzo West/Hayward West,Urban,3521,,,,,,1735,1786,,274,26,260,346,282,468,733,593,539,,1232,2267,22,14,691,128,484,877,17,1261,49,2643,41,188,372,,,,,3,,274,,2736,102,683,,12591,2663,280,304,274,,,1927,199,7,548,46,2,95,140,493,,2,47,13,,2,,,257,3264,,57,,257,1317,,1871,19,549,25,23,200,86,81,,6,682,272,344,48,205,183,300,274,2,59,173,9,,390,229,473,260,,,,15,2,49,264,10,41,33,27,1698,30,2,162,,17,3340,,,
106010987,010987,ALAMEDA,WASHINGTON HOSPITAL - FREMONT,2000 MOWRY AVENUE,FREMONT,94538,District,NA,300-499,District 10,District 24,Fremont East/Niles/Union City Central,Urban,11905,368,,,,,5332,6939,2,1674,63,529,1600,656,931,1820,2213,2786,1,1750,10340,183,58,5742,115,632,3190,165,2151,220,8013,2198,,385,63,,2,52,3,11,1546,,8308,7,3958,,58427,7976,1361,1111,1546,278,1,7043,205,75,1832,4,2,,374,2580,,2,125,27,1,3,,,1381,10892,,218,106,4006,5134,50,2759,,1479,339,43,463,109,218,11,9,1784,897,1114,232,371,687,1625,1636,8,74,1127,45,2,2739,1502,1330,985,4,19,1,90,19,297,835,142,24,251,147,3611,277,37,163,17,68,11988,,,
106013687,013687,ALAMEDA,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,3012 SUMMIT STREET,OAKLAND,94609,Non-profit Corporation (incl. Church-related),NA,1-49,District 7,District 18,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,,,,218,,,153,65,,,,35,62,40,48,28,,,5,22,173,23,,11,,15,149,24,19,,203,1,13,,1,,,,,,,,,3,215,,2551,,34,184,,,,196,4,1,,,,16,,,,,,1,,,,,1,217,,,,206,,,,12,,,,,218,,,,,,,,,,,,,,,,,213,,,,,,,,,,,,,,,5,,,,,2,216,,,
